鄉鎮市區,交易標的,ADDRESS,土地移轉總面積(平方公尺),都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價(元),單價(元/平方公尺),車位類別,車位移轉總面積(平方公尺),車位總價(元),交易標的橫坐標,交易標的縱坐標,有無備註欄(Y/N),備註,編號,主建物面積,附屬建物面積,陽台面積,電梯
樹林區,房地(土地+建物),新北市樹林區中正路２７號十樓,23.65,其他,,,1100716,土地2建物1車位0,十層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,790807,179.94,4,2,2,有,有,14000000,77804,,0,0,293120,2765772,N,,RPRNMLMJQHGGFIF58EA,138.99,17.61,0,有
樹林區,房地(土地+建物),新北市樹林區龍興街５６號四樓,21.59,其他,,,1100527,土地1建物1車位0,四層，陽台,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,640124,82.56,3,2,1,有,無,6100000,73886,,0,0,290680,2767531,Y,其他增建；,RPPNMLKMPHGGFIF38EA,82.56,0,0,無
蘆洲區,房地(土地+建物),新北市蘆洲區民族路３１４巷１１之１號七樓,22.26,其他,,,1100710,土地1建物1車位0,七層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,840804,122.16,3,2,2,有,有,12000000,98232,,0,0,298168,2775891,Y,陽台外推；,RPRQMLOJQHGGFGF78DA,89.53,13.09,0,有
三重區,房地(土地+建物),新北市三重區溪尾街４２之６號三樓,5.74,其他,,,1100712,土地2建物1車位0,三層,十五層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,971209,41.12,1,1,1,有,有,5350000,130107,,0,0,299439,2774382,Y,其他增建；,RPSQMLOJQHGGFGF88DA,23.21,1.96,0,有
蘆洲區,房地(土地+建物),新北市蘆洲區長安街２２巷３９弄１９號三樓,19.23,其他,,,1100609,土地1建物1車位0,三層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,880819,88.44,2,2,1,有,有,9500000,107417,,0,0,296828,2774800,Y,廚房增建,RPPNMLPJQHGGFGF38DA,62.22,8.04,0,有
蘆洲區,房地(土地+建物),新北市蘆洲區環堤大道２８號十二樓,8.24,其他,,,1100625,土地1建物1車位0,十二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,880727,66.73,2,1,1,有,有,6500000,97407,,0,0,296035,2775092,Y,陽台外推；,RPQNMLMJPHGGFGF08DA,44.97,6.74,0,有
三重區,房地(土地+建物)+車位,新北市三重區三賢街２６號二樓,29.02,其他,,,1100624,土地1建物1車位1,二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,970204,179.3,4,2,2,有,有,21380000,119241,坡道平面,30.46,0,299386,2775655,N,,RPQNMLTLOHGGFGF88DA,98.54,9.39,0,有
蘆洲區,房地(土地+建物),新北市蘆洲區長安街６８巷８弄５號五樓,30.25,其他,,,1100618,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,761230,105.63,6,3,3,有,無,9500000,89937,,0,0,296724,2774746,Y,頂樓加蓋；其他增建；,RPTRMLSKOHGGFGF76DA,95.02,10.61,0,無
中和區,房地(土地+建物)+車位,新北市中和區中正路７９７號二十一樓之二,16.95,其他,,,1100516,土地1建物1車位2,二十一層,二十七層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,861104,260.47,4,2,2,有,有,24500000,104768,坡道平面,64.8,4000000,298912,2765927,Y,其他增建；,RPPQMLKLPHGGFHF38DA,139.28,15,0,有
永和區,房地(土地+建物),新北市永和區秀朗路二段１２６巷２０號五樓,26.13,其他,,,1100630,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,700714,85.33,3,2,1,有,無,10700000,125396,,0,0,302946,2766008,Y,陽台外推；頂樓加蓋；其他增建；,RPWOMLPKPHGGFHF66DA,69.86,7.48,0,無
中和區,房地(土地+建物),新北市中和區景平路２６８號十八樓,3.89,其他,,,1100626,土地1建物1車位0,十八層,三十四層,住宅大樓(11層含以上有電梯),住家用,鋼骨造,890529,52.35,1,1,1,有,有,7160000,136772,,0,0,301978,2765074,N,,RPORMLTJPHGGFHF09DA,39.93,0,0,有
中和區,房地(土地+建物),新北市中和區景新街４６７巷２０弄１１０號四樓,17.19,其他,,,1100714,土地1建物1車位0,四層，陽台,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,690409,70.21,2,1,1,有,無,6700000,95428,,0,0,301973,2764407,N,,RPQNMLLJQHGGFHF18DA,70.21,0,0,無
中和區,房地(土地+建物),新北市中和區中山路三段８４巷１弄２號,32.84,其他,,,1100607,土地1建物1車位0,一層,四層,公寓(5樓含以下無電梯),住家用,加強磚造,650619,65.77,3,1,1,有,無,4633822,70455,,0,0,298215,2766547,Y,親友、員工、共有人或其他特殊關係間之交易；,RPXOMLOJQHGGFHF66DA,65.77,0,0,無
永和區,房地(土地+建物),新北市永和區中正路５８８號七樓之四,3.4,其他,,,1100707,土地1建物1車位0,七層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,820111,35.13,1,1,1,有,有,4900000,139482,,0,0,302208,2766637,N,,RPOPMLOJQHGGFHF48DA,23.42,0,0,有
永和區,房地(土地+建物),新北市永和區中正路７４６號七樓,2.71,其他,,,1100729,土地1建物1車位0,七層,十二層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,830727,35.73,1,1,1,有,有,5500000,153932,,0,0,301969,2767027,N,,RPRQMLOJQHGGFHF88DA,23.4,0,0,有
中和區,房地(土地+建物),新北市中和區秀朗路三段１０巷１４弄３２號,122.22,其他,,,1100226,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,630109,114.4,3,2,3,有,無,42800000,374126,,0,0,302964,2765508,Y,陽台外推；其他增建；,RPQNMLTKOHGGFHF88DA,114.4,0,0,無
汐止區,房地(土地+建物)+車位,新北市汐止區水源路一段１６８巷８號十二樓,22.38,其他,,,1100724,土地1建物1車位1,十二層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,1070319,164.65,3,2,2,有,有,21780000,132281,坡道平面,28.16,0,316114,2772857,N,,RPVOMLOJQHGGFDF68DA,80.1,11.37,0,有
五股區,房地(土地+建物)+車位,新北市五股區新城六路２３７號二樓,12.69,其他,,,1100720,土地1建物1車位1,二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040305,95.12,2,2,1,有,有,8000000,84104,坡道平面,28.24,0,295138,2776172,N,,RPSPMLQJQHGGFBF58EA,40.73,4.42,0,有
板橋區,房地(土地+建物),新北市板橋區文化路二段３６９巷４號三樓,46.75,其他,,,1100705,土地5建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,加強磚造,,82.57,2,1,1,有,無,8500000,102943,,0,0,297722,2769343,N,,RPPQMLPJQHGGFAF18EA,82.57,0,0,無
板橋區,房地(土地+建物),新北市板橋區四川路二段１３０巷４５號四樓,12.62,其他,,,1100526,土地1建物1車位0,四層，陽台,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,34.74,3,1,2,有,無,3000000,86356,,0,0,295375,2765275,Y,親友、員工、共有人或其他特殊關係間之交易；,RPTQMLOJQHGGFAF48EA,34.74,0,0,無
土城區,房地(土地+建物),新北市土城區永和街３號三樓,32.91,其他,,,1100711,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,700608,102.27,3,2,1,有,無,9300000,90936,,0,0,293881,2761991,Y,其他增建；,RPVPMLQJQHGGFAF78EA,82.12,20.15,0,無
樹林區,房地(土地+建物)+車位,新北市樹林區八德街６６２號四樓,28.47,其他,,,1100628,土地1建物1車位1,四層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1000421,153.72,3,2,2,有,有,9500000,61801,坡道平面,32.67,0,290012,2762442,N,,RPPNMLOJQHGGFIF48DA,75.61,9.33,0,有
三峽區,房地(土地+建物),新北市三峽區復興路３６９號三樓之４,4.38,其他,,,1100703,土地1建物1車位0,三層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,840425,39.68,1,1,1,有,有,4200000,105847,,0,0,286701,2758988,N,,RPUNMLOJQHGGFIF98DA,31.94,0,0,有
鶯歌區,房地(土地+建物)+車位,新北市鶯歌區永和街１５７之２號八樓,30.78,其他,,,1100716,土地1建物1車位1,八層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100317,172.34,3,2,2,有,有,12830000,81624,坡道平面,35.37,1650000,283798,2762464,N,,RPWOMLTLPHGGFIF27DA,81.84,9.74,0,有
淡水區,房地(土地+建物)+車位,新北市淡水區新市三路一段９２號二十樓,16.92,其他,,,1100522,土地1建物1車位1,二十層,二十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080222,115.46,2,1,2,有,有,8980000,83812,坡道平面,25.02,1400000,292879,2787805,N,,RPWPMLKLPHGGFEF68DA,53.25,7.89,0,有
淡水區,房地(土地+建物)+車位,新北市淡水區新市三路一段８６號七樓,16.92,其他,,,1100418,土地1建物1車位1,七層,二十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080222,115.46,2,1,2,有,有,8500000,78505,坡道平面,25.02,1400000,292879,2787805,N,,RPPQMLKLPHGGFEF08DA,53.25,7.89,0,有
淡水區,房地(土地+建物)+車位,新北市淡水區新市三路一段１１０號二十三樓,26.91,其他,,,1091128,土地1建物1車位1,二十三層,二十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080222,178.3,3,2,2,有,有,14930000,87291,坡道平面,25.02,1550000,292879,2787805,N,,RPTUMLNKPHGGFEF09DA,88.65,15.19,0,有
淡水區,房地(土地+建物)+車位,新北市淡水區新市三路一段６０號十七樓,16.72,其他,,,1100628,土地1建物1車位1,十七層,二十層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080222,114.43,2,1,2,有,有,8460000,80081,坡道平面,25.02,1300000,292879,2787805,N,,RPROMLOJQHGGFEF38DA,52.13,8.59,0,有
淡水區,房地(土地+建物),新北市淡水區水源街二段９２巷１１之２號五樓,22.59,其他,,,1100704,土地1建物1車位0,五層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,981125,99.23,3,0,3,有,有,7300000,73566,,0,0,295629,2785085,N,,RPUPMLNJQHGGFEF68DA,54.22,10.67,0,有
淡水區,房地(土地+建物)+車位,新北市淡水區新市三路一段１０６號十七樓,16.92,其他,,,1100707,土地1建物1車位1,十七層,二十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080222,115.46,2,1,2,有,有,9050000,82928,坡道平面,25.02,1550000,292879,2787805,N,,RPQOMLSLPHGGFEF78DA,53.25,7.89,0,有
淡水區,房地(土地+建物)+車位,新北市淡水區新市三路一段１１８號十樓,26.91,其他,,,1100417,土地1建物1車位1,十層,二十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080222,178.35,3,2,2,有,有,13200000,76958,坡道平面,25.02,1400000,292879,2787805,N,,RPWQMLNJQHGGFEF98DA,88.7,15.19,0,有
淡水區,房地(土地+建物)+車位,新北市淡水區新市三路一段８６號十三樓,16.92,其他,,,1100522,土地1建物1車位1,十三層,二十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080222,115.46,2,1,2,有,有,8820000,82043,坡道平面,25.02,1400000,292879,2787805,N,,RPXQMLNJQHGGFEF09DA,53.25,7.89,0,有
淡水區,房地(土地+建物)+車位,新北市淡水區新市三路一段８２號十一樓,16.92,其他,,,1100622,土地1建物1車位1,十一層,二十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080222,115.46,2,1,2,有,有,8800000,81822,坡道平面,25.02,1400000,292879,2787805,N,,RPQRMLNJQHGGFEF48DA,53.25,7.89,0,有
淡水區,房地(土地+建物)+車位,新北市淡水區新市三路一段８６號八樓,16.92,其他,,,1100510,土地1建物1車位1,八層,二十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080222,115.46,2,1,2,有,有,8410000,78616,坡道平面,25.02,1300000,292879,2787805,N,,RPRRMLNJQHGGFEF58DA,53.25,7.89,0,有
三重區,房地(土地+建物)+車位,新北市三重區三民街６８號三樓之三,18.21,其他,,,1100717,土地1建物1車位1,三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1050629,174.87,3,2,2,有,有,20000000,131994,坡道平面,38.5,2000000,298992,2772800,N,,RPOPMLLLPHGGFGF18DA,77.43,15.66,0,有
三重區,房地(土地+建物)+車位,新北市三重區集英路２２號十二樓,31.54,其他,,,1100714,土地1建物1車位1,十二層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1001027,213.2,4,2,2,有,有,27280000,127955,坡道平面,44.45,0,299092,2775334,N,,RPVOMLMJQHGGFGF78DA,109.02,12.82,0,有
蘆洲區,房地(土地+建物),新北市蘆洲區長安街３４７巷２２之３號三樓,23.83,其他,,,1100703,土地1建物1車位0,三層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,871209,106.97,3,2,2,有,有,12050000,112648,,0,0,296006,2775513,Y,陽台外推；,RPSOMLRLPHGGFGF09DA,76.08,7.81,0,有
蘆洲區,房地(土地+建物)+車位,新北市蘆洲區水湳街３９３號十六樓,65.41,其他,,,1100707,土地1建物1車位1,十六層,二十五層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1040316,419.49,4,2,4,有,有,59260000,145187,坡道平面,26.48,2200000,297375,2776306,N,,RPWOMLOJQHGGFGF09DA,238.13,25.72,0,有
三重區,房地(土地+建物),新北市三重區國隆路１４號四樓,29.95,其他,,,1100623,土地2建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,721207,118.31,4,2,1,有,無,11800000,99738,,0,0,299683,2772928,N,,RPVPMLQJPHGGFGF56DA,103.3,9.06,0,無
中和區,房地(土地+建物),新北市中和區連城路２６３巷１８弄１５號四樓,41.7,其他,,,1100704,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,800624,102.52,3,2,1,有,無,10600000,103394,,0,0,299700,2765285,N,,RPXRMLMLPHGGFHF86DA,83.99,10.42,0,無
中和區,房地(土地+建物),新北市中和區橋和路１６０巷１７號十三樓,6.92,其他,,,1100510,土地1建物1車位0,十三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,871230,57,1,1,1,有,有,6560000,115088,,0,0,299909,2766493,N,,RPTOMLQJQHGGFHF09DA,34.96,6.49,0,有
中和區,房地(土地+建物)+車位,新北市中和區景新街２０５之８號四樓,22.06,其他,,,1100629,土地1建物1車位1,四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,830524,150.61,2,2,2,有,有,18100000,120178,坡道平面,34.87,0,301240,2765334,N,,RPVQMLMJQHGGFHF09DA,89.4,18.82,0,有
永和區,房地(土地+建物),新北市永和區民權路５８巷２弄１２號,27.78,其他,,,1100723,土地1建物1車位0,一層，平台,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,680306,94.8,3,2,2,有,無,15000000,158228,,0,0,302473,2765740,N,,RPXQMLOJQHGGFHF86DA,94.8,0,0,無
中和區,房地(土地+建物),新北市中和區中興街２０２巷６號三樓,14.95,其他,,,1100630,土地1建物1車位0,三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,841117,83.45,2,1,1,有,有,10000000,119832,,0,0,300359,2764776,N,,RPQRMLOJQHGGFHF88DA,61.27,3.84,0,有
永和區,房地(土地+建物),新北市永和區永寧街１２５號,41.67,其他,,,1100509,土地1建物2車位0,一層,七層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,820520,224.02,2,3,2,有,有,36500000,162932,,0,0,302315,2766497,Y,陽台外推；其他增建；,RPRRMLMLOHGGFHF78DA,152.11,24.08,0,有
汐止區,房地(土地+建物)+車位,新北市汐止區康寧街４５９巷１號四樓,18.85,其他,,,1100507,土地1建物1車位1,四層,十九層,住宅大樓(11層含以上有電梯),辦公用,鋼筋混凝土構造,1090918,158.05,0,0,0,無,有,13750000,91700,坡道平面,30.46,2050000,313648,2773577,N,,RPRPMLQLNHGGFDF48DA,73.02,9.58,0,有
汐止區,房地(土地+建物)+車位,新北市汐止區長江街２５２號６樓之１,42.32,,山坡地保育區,丙種建築用地,1100615,土地1建物1車位1,六層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,840627,147.15,3,2,2,有,有,8000000,54366,坡道平面,0,1500000,316839,2774771,N,,RPPNMLQJQHGGFDF18DA,81.1,9.5,0,有
汐止區,房地(土地+建物)+車位,新北市汐止區忠孝東路４８８號四樓之１,16.15,其他,,,1100712,土地1建物1車位1,四層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,980911,94.85,2,2,1,有,有,11000000,115973,坡道機械,0,1000000,317222,2774128,N,,RPUNMLQJQHGGFDF68DA,58.87,6.44,0,有
汐止區,房地(土地+建物),新北市汐止區水源路二段１１０巷９號,25.28,其他,,,1100712,土地1建物1車位0,一層,四層,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,690731,73.11,4,1,4,有,無,7000000,95746,,0,0,316267,2772040,Y,陽台外推；,RPVNMLQJQHGGFDF78DA,61.99,11.12,0,無
泰山區,房地(土地+建物),新北市泰山區明志路一段１１７巷４弄５號四樓,29.5,其他,,,1100729,土地2建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,690630,83.01,8,0,8,有,無,7000000,84327,,0,0,293766,2772845,Y,室內格局變更頂樓加蓋；,RPQNMLTJQHGGFBF38DA,73.92,9.09,0,無
新莊區,房地(土地+建物)+車位,新北市新莊區福德一街６號六樓,27.06,其他,,,1100315,土地1建物1車位1,六層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100625,163.7,3,2,2,有,有,19720000,140175,坡道平面,38,2100000,296730,2772108,Y,預售屋、或土地及建物分件登記案件；,RPXWMLNJQHGGFBF76DA,74.16,8.24,0,有
新莊區,房地(土地+建物)+車位,新北市新莊區福德一街６號七樓,27.06,其他,,,1100109,土地1建物1車位1,七層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100625,163.7,3,2,2,有,有,19600000,138425,坡道平面,38,2200000,296730,2772108,Y,預售屋、或土地及建物分件登記案件；,RPONNLNJQHGGFBF67DA,74.16,8.24,0,有
新莊區,房地(土地+建物)+車位,新北市新莊區福德一街１２號十樓,39.19,其他,,,1100112,土地1建物1車位2,十層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100625,258.17,4,2,3,有,有,31800000,150409,坡道平面,76,4400000,296730,2772108,Y,本戶為裝潢戶預售屋、或土地及建物分件登記案件；,RPSONLNJQHGGFBF18DA,106.46,12.93,0,有
新莊區,房地(土地+建物)+車位,新北市新莊區福德一街６號十一樓,27.06,其他,,,1100207,土地1建物1車位1,十一層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100625,163.7,3,2,2,有,有,19930000,141050,坡道平面,38,2200000,296730,2772108,Y,預售屋、或土地及建物分件登記案件；,RPVNNLNJQHGGFBF38DA,74.16,8.24,0,有
