"鄉鎮市區","交易標的","ADDRESS","土地移轉總面積.平方公尺.","都市土地使用分區","非都市土地使用分區","非都市土地使用編定","交易年月日","交易筆棟數","移轉層次","總樓層數","建物型態","主要用途","主要建材","建築完成年月","建物移轉總面積.平方公尺.","建物現況格局.房","建物現況格局.廳","建物現況格局.衛","建物現況格局.隔間","有無管理組織","總價.元.","單價.元.平方公尺.","車位類別","車位移轉總面積.平方公尺.","車位總價.元.","交易標的橫坐標","交易標的縱坐標","有無備註欄.Y.N.","備註","編號","主建物面積","附屬建物面積","陽台面積","電梯","AddressNew","Geometry"
"蘆洲區","房地(土地+建物)+車位","新北市蘆洲區水湳街３９３號十六樓",65.41,"其他","","",1100707,"土地1建物1車位1","十六層","二十五層","住宅大樓(11層含以上有電梯)","住家用","鋼骨鋼筋混凝土造",1040316,419.49,4,2,4,"有","有",59260000,145187,"坡道平面",26.48,2200000,297375,2776306,"N","","RPWOMLOJQHGGFGF09DA",238.13,25.72,0,"有","新北市蘆洲區水湳里水湳街393號","POINT (121.469635741635 25.094528692182109)"
"三重區","房地(土地+建物)","新北市三重區國隆路１４號四樓",29.95,"其他","","",1100623,"土地2建物1車位0","四層","五層","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造",721207,118.31,4,2,1,"有","無",11800000,99738,"",0,0,299683,2772928,"N","","RPVPMLQJPHGGFGF56DA",103.3,9.06,0,"無","新北市三重區國隆里國隆路14號","POINT (121.49300686825011 25.063886473562611)"
"中和區","房地(土地+建物)","新北市中和區連城路２６３巷１８弄１５號四樓",41.7,"其他","","",1100704,"土地1建物1車位0","四層","五層","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造",800624,102.52,3,2,1,"有","無",10600000,103394,"",0,0,299700,2765285,"N","","RPXRMLMLPHGGFHF86DA",83.99,10.42,0,"無","新北市中和區建和里連城路263巷18弄15號","POINT (121.4920660347326 24.99466920716344)"
"中和區","房地(土地+建物)","新北市中和區橋和路１６０巷１７號十三樓",6.92,"其他","","",1100510,"土地1建物1車位0","十三層","十四層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",871230,57,1,1,1,"有","有",6560000,115088,"",0,0,299909,2766493,"N","","RPTOMLQJQHGGFHF09DA",34.96,6.49,0,"有","新北市中和區中原里橋和路160巷17號","POINT (121.49464106677471 25.005869971902)"
"中和區","房地(土地+建物)+車位","新北市中和區景新街２０５之８號四樓",22.06,"其他","","",1100629,"土地1建物1車位1","四層","七層","華廈(10層含以下有電梯)","住家用","鋼筋混凝土造",830524,150.61,2,2,2,"有","有",18100000,120178,"坡道平面",34.87,0,301240,2765334,"N","","RPVQMLMJQHGGFHF09DA",89.4,18.82,0,"有","新北市中和區景安里景新街205之8號","POINT (121.5078425849099 24.995153396472411)"
"永和區","房地(土地+建物)","新北市永和區民權路５８巷２弄１２號",27.78,"其他","","",1100723,"土地1建物1車位0","一層，平台","五層","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造",680306,94.8,3,2,2,"有","無",15000000,158228,"",0,0,302473,2765740,"N","","RPXQMLOJQHGGFHF86DA",94.8,0,0,"無","新北市永和區民族里民權路58巷2弄12號","POINT (121.5198059424656 24.998782419163579)"
"中和區","房地(土地+建物)","新北市中和區中興街２０２巷６號三樓",14.95,"其他","","",1100630,"土地1建物1車位0","三層","十四層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",841117,83.45,2,1,1,"有","有",10000000,119832,"",0,0,300359,2764776,"N","","RPQRMLOJQHGGFHF88DA",61.27,3.84,0,"有","新北市中和區中興里中興街202巷6號","POINT (121.4991258736947 24.990415241430561)"
"永和區","房地(土地+建物)","新北市永和區永寧街１２５號",41.67,"其他","","",1100509,"土地1建物2車位0","一層","七層","華廈(10層含以下有電梯)","商業用","鋼筋混凝土造",820520,224.02,2,3,2,"有","有",36500000,162932,"",0,0,302315,2766497,"Y","陽台外推；其他增建；","RPRRMLMLOHGGFHF78DA",152.11,24.08,0,"有","新北市永和區福和里永寧街125號","POINT (121.5180344207607 25.00557522920937)"
"汐止區","房地(土地+建物)+車位","新北市汐止區康寧街４５９巷１號四樓",18.85,"其他","","",1100507,"土地1建物1車位1","四層","十九層","住宅大樓(11層含以上有電梯)","辦公用","鋼筋混凝土構造",1090918,158.05,0,0,0,"無","有",13750000,91700,"坡道平面",30.46,2050000,313648,2773577,"N","","RPRPMLQLNHGGFDF48DA",73.02,9.58,0,"有","新北市汐止區北峰里康寧街459巷1號","POINT (121.6311594843841 25.069012336970179)"
"汐止區","房地(土地+建物)+車位","新北市汐止區長江街２５２號６樓之１",42.32,"","山坡地保育區","丙種建築用地",1100615,"土地1建物1車位1","六層","十層","華廈(10層含以下有電梯)","住家用","鋼筋混凝土造",840627,147.15,3,2,2,"有","有",8000000,54366,"坡道平面",0,1500000,316839,2774771,"N","","RPPNMLQJQHGGFDF18DA",81.1,9.5,0,"有","新北市汐止區鄉長里長江街252號","POINT (121.6627746582555 25.079750142768411)"
