"TOWNCODE","TOWNNAME","RoadList","IntersectionList","IntersectionRoadName","Geometry"
"10004030","新埔鎮","中正路311巷","中正路","10004030 中正路311巷與中正路交叉口","POINT (121.07805345919985 24.82775621517726)"
"10004030","新埔鎮","中正路311巷","文德路三段","10004030 中正路311巷與文德路三段交叉口","POINT (121.07765896978572 24.827058173096248)"
"10004030","新埔鎮","中正路311巷","和平街","10004030 中正路311巷與和平街交叉口","POINT (121.07765896978572 24.827058173096248)"
"10004030","新埔鎮","文德路三段140巷","文德路三段","10004030 文德路三段140巷與文德路三段交叉口","POINT (121.07765818197959 24.823961881036041)"
"10004030","新埔鎮","文德路二段","文德路二段107巷","10004030 文德路二段與文德路二段107巷交叉口","POINT (121.08172866014957 24.808642388635405)"
"10004030","新埔鎮","文德路二段","文德路二段149巷","10004030 文德路二段與文德路二段149巷交叉口","POINT (121.08102858290283 24.809455963921664)"
"10004030","新埔鎮","文德路二段","文德路二段262巷","10004030 文德路二段與文德路二段262巷交叉口","POINT (121.08172866014957 24.808642388635405)"
"10004030","新埔鎮","文德路二段","文德路二段313巷","10004030 文德路二段與文德路二段313巷交叉口","POINT (121.07874854880652 24.812536594288474)"
"10004030","新埔鎮","文德路二段","文德路二段339巷","10004030 文德路二段與文德路二段339巷交叉口","POINT (121.07843993475524 24.813129090135476)"
"10004030","新埔鎮","文德路二段","文德路二段372巷","10004030 文德路二段與文德路二段372巷交叉口","POINT (121.08041385131821 24.810412788619374)"
"10004030","新埔鎮","文德路二段","文德路二段552巷","10004030 文德路二段與文德路二段552巷交叉口","POINT (121.07823605395083 24.813547171464847)"
"10004030","新埔鎮","文德路二段","文德路二段620巷","10004030 文德路二段與文德路二段620巷交叉口","POINT (121.07781821453898 24.814583702176151)"
"10004030","新埔鎮","文德路二段","文德路二段746巷","10004030 文德路二段與文德路二段746巷交叉口","POINT (121.07782490189777 24.816930097246257)"
"10004030","新埔鎮","文德路二段","文德路二段828巷","10004030 文德路二段與文德路二段828巷交叉口","POINT (121.07773623863659 24.818156526102825)"
"10004030","新埔鎮","文德路二段","關埔路內立段","10004030 文德路二段與關埔路內立段交叉口","POINT (121.07783852842545 24.816539746512149)"
"10004030","新埔鎮","文德路二段","關埔路水車頭段","10004030 文德路二段與關埔路水車頭段交叉口","POINT (121.07783852842545 24.816539746512149)"
"10004030","新埔鎮","文德路二段746巷","文德路二段","10004030 文德路二段746巷與文德路二段交叉口","POINT (121.07782490189777 24.816930097246257)"
"10004030","新埔鎮","關埔路內立段","文德路二段","10004030 關埔路內立段與文德路二段交叉口","POINT (121.07783852842545 24.816539746512149)"
"10004030","新埔鎮","關埔路內立段","進高路","10004030 關埔路內立段與進高路交叉口","POINT (121.08627740138104 24.81498620095249)"
"10004030","新埔鎮","關埔路內立段","關埔路內立段151巷","10004030 關埔路內立段與關埔路內立段151巷交叉口","POINT (121.08498323918525 24.815327624070619)"
"10004030","新埔鎮","關埔路內立段","關埔路內立段162巷","10004030 關埔路內立段與關埔路內立段162巷交叉口","POINT (121.08796730304869 24.81467315774006)"
"10004030","新埔鎮","關埔路內立段","關埔路內立段203巷","10004030 關埔路內立段與關埔路內立段203巷交叉口","POINT (121.08376224673032 24.815650844910635)"
"10004030","新埔鎮","關埔路內立段","關埔路內立段230巷","10004030 關埔路內立段與關埔路內立段230巷交叉口","POINT (121.086598100522 24.814921635025485)"
"10004030","新埔鎮","關埔路內立段","關埔路內立段298巷","10004030 關埔路內立段與關埔路內立段298巷交叉口","POINT (121.08525415995155 24.815252525283881)"
"10004030","新埔鎮","關埔路內立段","關埔路內立段328巷","10004030 關埔路內立段與關埔路內立段328巷交叉口","POINT (121.08473866765542 24.815394851091582)"
"10004030","新埔鎮","關埔路內立段","關埔路內立段380巷","10004030 關埔路內立段與關埔路內立段380巷交叉口","POINT (121.08376224673032 24.815650844910635)"
"10004030","新埔鎮","關埔路內立段","關埔路內立段425巷","10004030 關埔路內立段與關埔路內立段425巷交叉口","POINT (121.07881226487416 24.816136341219249)"
"10004030","新埔鎮","關埔路內立段","關埔路內立段52巷","10004030 關埔路內立段與關埔路內立段52巷交叉口","POINT (121.09015585630777 24.81431085596131)"
"10004030","新埔鎮","關埔路內立段","關埔路內立段80巷","10004030 關埔路內立段與關埔路內立段80巷交叉口","POINT (121.0894486735175 24.8143994994374)"
"10004030","新埔鎮","關埔路內立段","關埔路內立段81巷","10004030 關埔路內立段與關埔路內立段81巷交叉口","POINT (121.08747144385211 24.814763111528407)"
"10004030","新埔鎮","文德路二段692巷","文德路二段","10004030 文德路二段692巷與文德路二段交叉口","POINT (121.07783937558679 24.815805648811704)"
"10004030","新埔鎮","文德路二段708巷","文德路二段","10004030 文德路二段708巷與文德路二段交叉口","POINT (121.07784517351604 24.816075175628896)"
"10004030","新埔鎮","文德路二段589巷","文德路二段","10004030 文德路二段589巷與文德路二段交叉口","POINT (121.07784693888516 24.816157253154756)"
"10004030","新埔鎮","旱坑路一段631巷","旱坑路一段","10004030 旱坑路一段631巷與旱坑路一段交叉口","POINT (121.07795152104598 24.847534997742002)"
"10004030","新埔鎮","中正路416巷","上樟路一段","10004030 中正路416巷與上樟路一段交叉口","POINT (121.07809600612586 24.828458142329453)"
"10004030","新埔鎮","中正路416巷","中正路","10004030 中正路416巷與中正路交叉口","POINT (121.07805345919985 24.82775621517726)"
"10004030","新埔鎮","中正路416巷","中正路311巷","10004030 中正路416巷與中正路311巷交叉口","POINT (121.07805345919985 24.82775621517726)"
"10004030","新埔鎮","中正路416巷","成功街","10004030 中正路416巷與成功街交叉口","POINT (121.07809600612586 24.828458142329453)"
"10004030","新埔鎮","上樟路一段","上樟路一段12巷","10004030 上樟路一段與上樟路一段12巷交叉口","POINT (121.07817886965916 24.828907495784335)"
"10004030","新埔鎮","上樟路一段","上樟路一段158巷","10004030 上樟路一段與上樟路一段158巷交叉口","POINT (121.08060780810388 24.831243570234619)"
"10004030","新埔鎮","上樟路一段","上樟路一段21巷","10004030 上樟路一段與上樟路一段21巷交叉口","POINT (121.07817886965916 24.828907495784335)"
"10004030","新埔鎮","上樟路一段","上樟路一段285巷","10004030 上樟路一段與上樟路一段285巷交叉口","POINT (121.082057003528 24.832965331285038)"
"10004030","新埔鎮","上樟路一段","上樟路一段409巷","10004030 上樟路一段與上樟路一段409巷交叉口","POINT (121.08378613991852 24.835279612464205)"
"10004030","新埔鎮","上樟路一段","上樟路一段431巷","10004030 上樟路一段與上樟路一段431巷交叉口","POINT (121.08411869392262 24.835652793341808)"
"10004030","新埔鎮","上樟路一段","上樟路一段457巷","10004030 上樟路一段與上樟路一段457巷交叉口","POINT (121.08462873003191 24.836003931836046)"
"10004030","新埔鎮","上樟路一段","成功街","10004030 上樟路一段與成功街交叉口","POINT (121.07809600612586 24.828458142329453)"
"10004030","新埔鎮","上樟路一段","忠孝路","10004030 上樟路一段與忠孝路交叉口","POINT (121.08121947749692 24.831943743708848)"
"10004030","新埔鎮","上樟路一段21巷","上樟路一段","10004030 上樟路一段21巷與上樟路一段交叉口","POINT (121.07817886965916 24.828907495784335)"
"10004030","新埔鎮","上樟路一段21巷","上樟路一段12巷","10004030 上樟路一段21巷與上樟路一段12巷交叉口","POINT (121.07817886965916 24.828907495784335)"
"10004030","新埔鎮","旱坑路一段488巷","旱坑路一段","10004030 旱坑路一段488巷與旱坑路一段交叉口","POINT (121.07846802777738 24.843731709950532)"
"10004030","新埔鎮","文德路二段492巷","文德路二段","10004030 文德路二段492巷與文德路二段交叉口","POINT (121.07865091750591 24.812719493010263)"
"10004030","新埔鎮","旱坑路一段438巷","旱坑路一段","10004030 旱坑路一段438巷與旱坑路一段交叉口","POINT (121.07868055466395 24.842453481043378)"
"10004030","新埔鎮","旱北路","旱北路136巷","10004030 旱北路與旱北路136巷交叉口","POINT (121.08210289233466 24.842903473016918)"
"10004030","新埔鎮","旱北路","旱北路165巷","10004030 旱北路與旱北路165巷交叉口","POINT (121.0832297581469 24.8435955876663)"
"10004030","新埔鎮","旱北路","旱北路269巷","10004030 旱北路與旱北路269巷交叉口","POINT (121.08638303035264 24.844224866684328)"
"10004030","新埔鎮","旱北路","旱北路299巷","10004030 旱北路與旱北路299巷交叉口","POINT (121.08711269799267 24.844417763169304)"
"10004030","新埔鎮","旱北路","旱北路336巷","10004030 旱北路與旱北路336巷交叉口","POINT (121.08653936310122 24.844290239303177)"
"10004030","新埔鎮","旱北路","旱北路398巷","10004030 旱北路與旱北路398巷交叉口","POINT (121.08815859424374 24.844692186795044)"
"10004030","新埔鎮","旱北路","旱北路466巷","10004030 旱北路與旱北路466巷交叉口","POINT (121.08927994721182 24.845821735284915)"
"10004030","新埔鎮","旱北路","旱北路65巷","10004030 旱北路與旱北路65巷交叉口","POINT (121.08067438851231 24.842186952565839)"
"10004030","新埔鎮","旱北路","旱北路66巷","10004030 旱北路與旱北路66巷交叉口","POINT (121.08013151545708 24.842317630354387)"
"10004030","新埔鎮","旱北路","旱北路95巷","10004030 旱北路與旱北路95巷交叉口","POINT (121.08210289233466 24.842903473016918)"
"10004030","新埔鎮","旱北路","旱坑路一段","10004030 旱北路與旱坑路一段交叉口","POINT (121.07871231332263 24.842216351403522)"
"10004030","新埔鎮","中正路281巷","中正路","10004030 中正路281巷與中正路交叉口","POINT (121.07871618040747 24.827939526687885)"
"10004030","新埔鎮","和平街37巷","和平街","10004030 和平街37巷與和平街交叉口","POINT (121.0788804973372 24.8271208288632)"
"10004030","新埔鎮","文化街","和平街","10004030 文化街與和平街交叉口","POINT (121.07911523657901 24.827205222143334)"
"10004030","新埔鎮","關埔路內立段616巷","關埔路內立段","10004030 關埔路內立段616巷與關埔路內立段交叉口","POINT (121.07943208931954 24.815809056342914)"
"10004030","新埔鎮","旱北路35巷","旱北路","10004030 旱北路35巷與旱北路交叉口","POINT (121.07970993936226 24.842234242516327)"
"10004030","新埔鎮","上樟路一段126巷","上樟路一段","10004030 上樟路一段126巷與上樟路一段交叉口","POINT (121.07974841685598 24.830574768710676)"
"10004030","新埔鎮","仁愛路","中正路","10004030 仁愛路與中正路交叉口","POINT (121.08101858693829 24.827458652894563)"
"10004030","新埔鎮","仁愛路","仁愛路37巷","10004030 仁愛路與仁愛路37巷交叉口","POINT (121.08056380517553 24.826423309288316)"
"10004030","新埔鎮","仁愛路","仁愛路48巷","10004030 仁愛路與仁愛路48巷交叉口","POINT (121.08056380517553 24.826423309288316)"
"10004030","新埔鎮","仁愛路","文化街","10004030 仁愛路與文化街交叉口","POINT (121.08066792418538 24.8267956286154)"
"10004030","新埔鎮","仁愛路","田新三街","10004030 仁愛路與田新三街交叉口","POINT (121.08024995257335 24.825132717401061)"
"10004030","新埔鎮","仁愛路","田新五街","10004030 仁愛路與田新五街交叉口","POINT (121.08049900542483 24.826157788051546)"
"10004030","新埔鎮","仁愛路","田新路","10004030 仁愛路與田新路交叉口","POINT (121.08011086522436 24.824560594795685)"
"10004030","新埔鎮","仁愛路","楊新路一段","10004030 仁愛路與楊新路一段交叉口","POINT (121.08101858693829 24.827458652894563)"
"10004030","新埔鎮","仁愛路","福德街","10004030 仁愛路與福德街交叉口","POINT (121.08038159713306 24.825674504075153)"
"10004030","新埔鎮","田新三街","仁愛路","10004030 田新三街與仁愛路交叉口","POINT (121.08024995257335 24.825132717401061)"
"10004030","新埔鎮","文德路二段372巷","文德路二段","10004030 文德路二段372巷與文德路二段交叉口","POINT (121.08041385131821 24.810412788619374)"
"10004030","新埔鎮","仁愛路48巷","仁愛路37巷","10004030 仁愛路48巷與仁愛路37巷交叉口","POINT (121.08056380517553 24.826423309288316)"
"10004030","新埔鎮","旱北路65巷","旱北路","10004030 旱北路65巷與旱北路交叉口","POINT (121.08067438851231 24.842186952565839)"
"10004030","新埔鎮","文德路二段177巷","文德路二段","10004030 文德路二段177巷與文德路二段交叉口","POINT (121.08072850071983 24.809966923634647)"
"10004030","新埔鎮","關埔路內立段540巷","關埔路內立段","10004030 關埔路內立段540巷與關埔路內立段交叉口","POINT (121.08079656231155 24.815652295517054)"
"10004030","新埔鎮","關埔路內立段540巷","關埔路內立段540巷61弄","10004030 關埔路內立段540巷與關埔路內立段540巷61弄交叉口","POINT (121.08085801478558 24.81718004941979)"
"10004030","新埔鎮","忠孝路16巷","忠孝路","10004030 忠孝路16巷與忠孝路交叉口","POINT (121.08091620541859 24.832022375032636)"
"10004030","新埔鎮","忠孝路16巷","忠孝路23巷","10004030 忠孝路16巷與忠孝路23巷交叉口","POINT (121.08091620541859 24.832022375032636)"
"10004030","新埔鎮","忠孝路23巷","忠孝路","10004030 忠孝路23巷與忠孝路交叉口","POINT (121.08091620541859 24.832022375032636)"
"10004030","新埔鎮","文德路二段107巷","文德路二段","10004030 文德路二段107巷與文德路二段交叉口","POINT (121.08172866014957 24.808642388635405)"
"10004030","新埔鎮","文德路二段107巷","文德路二段107巷18弄","10004030 文德路二段107巷與文德路二段107巷18弄交叉口","POINT (121.0820002940784 24.808058122484397)"
"10004030","新埔鎮","文德路二段107巷","文德路二段107巷242弄","10004030 文德路二段107巷與文德路二段107巷242弄交叉口","POINT (121.08094366172065 24.803570592708752)"
"10004030","新埔鎮","文德路二段107巷","文德路二段262巷","10004030 文德路二段107巷與文德路二段262巷交叉口","POINT (121.08172866014957 24.808642388635405)"
"10004030","新埔鎮","楊新路一段","三聖路","10004030 楊新路一段與三聖路交叉口","POINT (121.09462643835946 24.835080094271007)"
"10004030","新埔鎮","楊新路一段","中正路","10004030 楊新路一段與中正路交叉口","POINT (121.08101858693829 24.827458652894563)"
"10004030","新埔鎮","楊新路一段","內思路","10004030 楊新路一段與內思路交叉口","POINT (121.08156650339151 24.828274256152042)"
"10004030","新埔鎮","楊新路一段","楊新路一段131巷","10004030 楊新路一段與楊新路一段131巷交叉口","POINT (121.0843858402344 24.830304318289734)"
"10004030","新埔鎮","楊新路一段","楊新路一段13巷","10004030 楊新路一段與楊新路一段13巷交叉口","POINT (121.08136852483756 24.828004383095845)"
"10004030","新埔鎮","楊新路一段","楊新路一段156巷","10004030 楊新路一段與楊新路一段156巷交叉口","POINT (121.0843858402344 24.830304318289734)"
"10004030","新埔鎮","楊新路一段","楊新路一段175巷","10004030 楊新路一段與楊新路一段175巷交叉口","POINT (121.08540525594788 24.83070121698762)"
"10004030","新埔鎮","楊新路一段","楊新路一段318巷","10004030 楊新路一段與楊新路一段318巷交叉口","POINT (121.08710675167527 24.831138705686783)"
"10004030","新埔鎮","楊新路一段","楊新路一段331巷","10004030 楊新路一段與楊新路一段331巷交叉口","POINT (121.08922405974261 24.83173051085447)"
"10004030","新埔鎮","楊新路一段","楊新路一段346巷","10004030 楊新路一段與楊新路一段346巷交叉口","POINT (121.08862878229252 24.831536370607068)"
"10004030","新埔鎮","楊新路一段","楊新路一段358巷","10004030 楊新路一段與楊新路一段358巷交叉口","POINT (121.08875798429358 24.831567716476968)"
"10004030","新埔鎮","楊新路一段","楊新路一段7巷","10004030 楊新路一段與楊新路一段7巷交叉口","POINT (121.08127940651946 24.827865377585169)"
"10004030","新埔鎮","楊新路一段","楊新路二段","10004030 楊新路一段與楊新路二段交叉口","POINT (121.10031429237074 24.83919236663445)"
"10004030","新埔鎮","楊新路一段13巷","楊新路一段","10004030 楊新路一段13巷與楊新路一段交叉口","POINT (121.08136852483756 24.828004383095845)"
"10004030","新埔鎮","楊新路一段13巷","楊新路一段13巷2弄","10004030 楊新路一段13巷與楊新路一段13巷2弄交叉口","POINT (121.08119368224266 24.828052244115838)"
"10004030","新埔鎮","楊新路一段13巷2弄","楊新路一段13巷","10004030 楊新路一段13巷2弄與楊新路一段13巷交叉口","POINT (121.08119368224266 24.828052244115838)"
"10004030","新埔鎮","內思路","仁屋二街","10004030 內思路與仁屋二街交叉口","POINT (121.08444042458598 24.827404749329787)"
"10004030","新埔鎮","內思路","內思路61巷","10004030 內思路與內思路61巷交叉口","POINT (121.08363193946252 24.827557439824034)"
"10004030","新埔鎮","內思路","內思路90巷","10004030 內思路與內思路90巷交叉口","POINT (121.08249112246745 24.827884037618276)"
"10004030","新埔鎮","內思路","楊新路一段","10004030 內思路與楊新路一段交叉口","POINT (121.08156650339151 24.828274256152042)"
"10004030","新埔鎮","關埔路內立段492巷","關埔路內立段","10004030 關埔路內立段492巷與關埔路內立段交叉口","POINT (121.08163551646601 24.815663579310808)"
